2025-07-09 18:41:57,276 INFO: 
------------------------ neosr ------------------------
Pytorch Version: 2.5.1+cu124. Running on gpu NVIDIA L4, with driver 535.247.01.
2025-07-09 18:41:58,173 INFO: Dataset [paired] is built.
2025-07-09 18:41:58,174 INFO: Training informations:
-------- Starting model: train_plksr_tiny_4x
-------- GPUs detected: 1
-------- Patch size: 32
-------- Dataset size: 1365
-------- Batch size per gpu: 4
-------- Accumulated batches: 4
-------- Required iters per epoch: 342
-------- Total epochs 1316 for total iters 450000.
2025-07-09 18:41:58,249 INFO: Dataset [paired] is built.
2025-07-09 18:41:58,249 INFO: Number of val images/folders: 162
2025-07-09 18:41:58,471 INFO: Using network [plksr].
2025-07-09 18:41:58,618 INFO: Using network [metagan].
2025-07-09 18:41:58,655 INFO: Loading plksr model from /teamspace/studios/this_studio/neosr/experiments/train_plksr_tiny_4x/models/net_g_55000.pth, with param key: [params].
2025-07-09 18:41:58,854 INFO: Loading metagan model from /teamspace/studios/this_studio/neosr/experiments/train_plksr_tiny_4x/models/net_d_55000.pth, with param key: [params].
2025-07-09 18:41:59,009 INFO: Using exponential-moving average.
2025-07-09 18:41:59,237 INFO: Loss [mssim_loss] enabled.
2025-07-09 18:41:59,238 INFO: Loss [gan_loss] enabled.
2025-07-09 18:41:59,238 INFO: Loss [wavelet-guided] enabled.
2025-07-09 18:41:59,238 INFO: Using model [image].
2025-07-09 18:41:59,361 INFO: [1;32mResuming training from epoch: 160, iter: 55000[0m
2025-07-09 18:42:10,010 INFO: AMP enabled with BF16.
2025-07-09 18:42:10,011 INFO: [1;32mStart training from epoch: 160, iter: 55000[0m
2025-07-09 18:43:53,881 INFO: [ epoch: 160 ] [ iter: 55,100 ] [ performance: 0.963 it/s ] [ lr: 1.00e-05 ] [ eta: 5 days, 6:53:13 ] [ l_g_mssim: 2.3549e-03 ] [ l_g_gan: 3.9996e+00 ] [ l_g_total: 4.0020e+00 ] [ l_d_real: 6.1114e-06 ] [ out_d_real: 1.2375e+01 ] [ l_d_fake: 2.7418e-06 ] [ out_d_fake: -1.3312e+01 ] [ l_d_total: 4.4266e-06 ] 
2025-07-09 18:44:39,006 INFO: [ epoch: 160 ] [ iter: 55,200 ] [ performance: 1.342 it/s ] [ lr: 1.00e-05 ] [ eta: 3 days, 15:58:39 ] [ l_g_mssim: 1.2274e-03 ] [ l_g_gan: 3.2086e+00 ] [ l_g_total: 3.2098e+00 ] [ l_d_real: 4.5314e-07 ] [ out_d_real: 1.4812e+01 ] [ l_d_fake: 6.1929e-05 ] [ out_d_fake: -1.0688e+01 ] [ l_d_total: 3.1191e-05 ] 
2025-07-09 18:45:19,351 INFO: [ epoch: 160 ] [ iter: 55,300 ] [ performance: 2.468 it/s ] [ lr: 1.00e-05 ] [ eta: 3 days, 1:19:57 ] [ l_g_mssim: 2.2435e-03 ] [ l_g_gan: 3.4512e+00 ] [ l_g_total: 3.4534e+00 ] [ l_d_real: 2.0241e-09 ] [ out_d_real: 2.0750e+01 ] [ l_d_fake: 1.4544e-05 ] [ out_d_fake: -1.1500e+01 ] [ l_d_total: 7.2728e-06 ] 
2025-07-09 18:46:08,406 INFO: [ epoch: 161 ] [ iter: 55,400 ] [ performance: 2.232 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 20:24:56 ] [ l_g_mssim: 1.2851e-03 ] [ l_g_gan: 4.7988e+00 ] [ l_g_total: 4.8001e+00 ] [ l_d_real: 2.0520e-10 ] [ out_d_real: 2.5750e+01 ] [ l_d_fake: 2.3842e-07 ] [ out_d_fake: -1.6000e+01 ] [ l_d_total: 1.1931e-07 ] 
2025-07-09 18:46:49,978 INFO: [ epoch: 161 ] [ iter: 55,500 ] [ performance: 2.402 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 15:49:15 ] [ l_g_mssim: 8.6167e-04 ] [ l_g_gan: 4.7508e+00 ] [ l_g_total: 4.7516e+00 ] [ l_d_real: 8.2566e-09 ] [ out_d_real: 2.0750e+01 ] [ l_d_fake: 5.9605e-08 ] [ out_d_fake: -1.5812e+01 ] [ l_d_total: 3.3931e-08 ] 
2025-07-09 18:47:35,299 INFO: [ epoch: 161 ] [ iter: 55,600 ] [ performance: 2.299 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 13:26:30 ] [ l_g_mssim: 1.4297e-03 ] [ l_g_gan: 6.0844e+00 ] [ l_g_total: 6.0858e+00 ] [ l_d_real: 4.1420e-09 ] [ out_d_real: 2.4000e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -2.0250e+01 ] [ l_d_total: 2.0710e-09 ] 
2025-07-09 18:48:23,611 INFO: [ epoch: 162 ] [ iter: 55,700 ] [ performance: 2.038 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 12:12:30 ] [ l_g_mssim: 1.9963e-03 ] [ l_g_gan: 4.8094e+00 ] [ l_g_total: 4.8114e+00 ] [ l_d_real: 2.0783e-09 ] [ out_d_real: 2.2875e+01 ] [ l_d_fake: 5.9605e-08 ] [ out_d_fake: -1.6000e+01 ] [ l_d_total: 3.0841e-08 ] 
2025-07-09 18:49:07,446 INFO: [ epoch: 162 ] [ iter: 55,800 ] [ performance: 2.155 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 10:40:01 ] [ l_g_mssim: 4.3297e-04 ] [ l_g_gan: 5.1891e+00 ] [ l_g_total: 5.1895e+00 ] [ l_d_real: 2.0687e-09 ] [ out_d_real: 2.1875e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -1.7250e+01 ] [ l_d_total: 1.0343e-09 ] 
2025-07-09 18:49:47,859 INFO: [ epoch: 162 ] [ iter: 55,900 ] [ performance: 2.443 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 9:02:57 ] [ l_g_mssim: 5.4013e-04 ] [ l_g_gan: 6.6164e+00 ] [ l_g_total: 6.6169e+00 ] [ l_d_real: 5.6641e-11 ] [ out_d_real: 2.5750e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -2.2000e+01 ] [ l_d_total: 2.8321e-11 ] 
2025-07-09 18:50:26,864 INFO: [ epoch: 162 ] [ iter: 56,000 ] [ performance: 2.503 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 7:35:55 ] [ l_g_mssim: 7.3897e-04 ] [ l_g_gan: 5.0367e+00 ] [ l_g_total: 5.0375e+00 ] [ l_d_real: 4.9222e-13 ] [ out_d_real: 2.9000e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -1.6750e+01 ] [ l_d_total: 2.4611e-13 ] 
