2025-07-08 22:12:20,632 INFO: 
------------------------ neosr ------------------------
Pytorch Version: 2.5.1+cu124. Running on gpu NVIDIA L4, with driver 535.247.01.
2025-07-08 22:12:21,673 INFO: Dataset [paired] is built.
2025-07-08 22:12:21,673 INFO: Training informations:
-------- Starting model: train_plksr_tiny_4x
-------- GPUs detected: 1
-------- Patch size: 32
-------- Dataset size: 1365
-------- Batch size per gpu: 4
-------- Accumulated batches: 4
-------- Required iters per epoch: 342
-------- Total epochs 1316 for total iters 450000.
2025-07-08 22:12:21,753 INFO: Dataset [paired] is built.
2025-07-08 22:12:21,753 INFO: Number of val images/folders: 162
2025-07-08 22:12:21,910 INFO: Using network [plksr].
2025-07-08 22:12:22,075 INFO: Using network [metagan].
2025-07-08 22:12:22,116 INFO: Loading plksr model from /teamspace/studios/this_studio/neosr/experiments/train_plksr_tiny_4x/models/net_g_30000.pth, with param key: [params].
2025-07-08 22:12:22,576 INFO: Loading metagan model from /teamspace/studios/this_studio/neosr/experiments/train_plksr_tiny_4x/models/net_d_30000.pth, with param key: [params].
2025-07-08 22:12:22,715 INFO: Using exponential-moving average.
2025-07-08 22:12:22,904 INFO: Loss [mssim_loss] enabled.
2025-07-08 22:12:22,904 INFO: Loss [gan_loss] enabled.
2025-07-08 22:12:22,904 INFO: Loss [wavelet-guided] enabled.
2025-07-08 22:12:22,904 INFO: Using model [image].
2025-07-08 22:12:23,030 INFO: [1;32mResuming training from epoch: 87, iter: 30000[0m
2025-07-08 22:12:31,806 INFO: AMP enabled with BF16.
2025-07-08 22:12:31,807 INFO: [1;32mStart training from epoch: 87, iter: 30000[0m
2025-07-08 22:22:02,688 INFO: [ epoch:  90 ] [ iter: 31,100 ] [ performance: 2.131 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 13:22:24 ] [ l_g_mssim: 1.6920e-03 ] [ l_g_gan: 4.3945e+00 ] [ l_g_total: 4.3962e+00 ] [ l_d_real: 1.0409e-05 ] [ out_d_real: 1.1750e+01 ] [ l_d_fake: 4.7684e-07 ] [ out_d_fake: -1.4625e+01 ] [ l_d_total: 5.4428e-06 ] 
2025-07-08 22:22:45,010 INFO: [ epoch:  90 ] [ iter: 31,200 ] [ performance: 2.244 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 12:20:51 ] [ l_g_mssim: 1.0819e-03 ] [ l_g_gan: 5.2324e+00 ] [ l_g_total: 5.2335e+00 ] [ l_d_real: 2.5403e-06 ] [ out_d_real: 1.3500e+01 ] [ l_d_fake: 5.9605e-08 ] [ out_d_fake: -1.7500e+01 ] [ l_d_total: 1.2999e-06 ] 
2025-07-08 22:23:30,532 INFO: [ epoch:  90 ] [ iter: 31,300 ] [ performance: 2.317 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 11:45:51 ] [ l_g_mssim: 1.2284e-03 ] [ l_g_gan: 3.7805e+00 ] [ l_g_total: 3.7817e+00 ] [ l_d_real: 1.4875e-06 ] [ out_d_real: 1.3688e+01 ] [ l_d_fake: 4.1127e-06 ] [ out_d_fake: -1.2625e+01 ] [ l_d_total: 2.8001e-06 ] 
2025-07-08 22:24:20,213 INFO: [ epoch:  91 ] [ iter: 31,400 ] [ performance: 2.150 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 11:36:30 ] [ l_g_mssim: 1.4354e-03 ] [ l_g_gan: 4.8633e+00 ] [ l_g_total: 4.8647e+00 ] [ l_d_real: 7.8868e-07 ] [ out_d_real: 1.4625e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -1.6250e+01 ] [ l_d_total: 3.9434e-07 ] 
2025-07-08 22:25:03,877 INFO: [ epoch:  91 ] [ iter: 31,500 ] [ performance: 2.266 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 11:00:16 ] [ l_g_mssim: 4.7936e-04 ] [ l_g_gan: 4.8164e+00 ] [ l_g_total: 4.8169e+00 ] [ l_d_real: 4.8240e-07 ] [ out_d_real: 1.4750e+01 ] [ l_d_fake: 8.3447e-07 ] [ out_d_fake: -1.6000e+01 ] [ l_d_total: 6.5843e-07 ] 
2025-07-08 22:25:49,543 INFO: [ epoch:  91 ] [ iter: 31,600 ] [ performance: 2.226 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 10:37:13 ] [ l_g_mssim: 1.7866e-03 ] [ l_g_gan: 4.3828e+00 ] [ l_g_total: 4.3846e+00 ] [ l_d_real: 3.7303e-08 ] [ out_d_real: 1.7500e+01 ] [ l_d_fake: 7.7486e-07 ] [ out_d_fake: -1.4625e+01 ] [ l_d_total: 4.0608e-07 ] 
2025-07-08 22:26:26,557 INFO: [ epoch:  91 ] [ iter: 31,700 ] [ performance: 2.725 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 9:41:18 ] [ l_g_mssim: 1.1231e-03 ] [ l_g_gan: 3.6973e+00 ] [ l_g_total: 3.6984e+00 ] [ l_d_real: 4.1176e-06 ] [ out_d_real: 1.2562e+01 ] [ l_d_fake: 5.9009e-06 ] [ out_d_fake: -1.2312e+01 ] [ l_d_total: 5.0092e-06 ] 
2025-07-08 22:27:19,935 INFO: [ epoch:  92 ] [ iter: 31,800 ] [ performance: 2.204 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 9:54:55 ] [ l_g_mssim: 1.3712e-03 ] [ l_g_gan: 2.6801e+00 ] [ l_g_total: 2.6815e+00 ] [ l_d_real: 1.6094e-05 ] [ out_d_real: 1.1125e+01 ] [ l_d_fake: 1.4234e-04 ] [ out_d_fake: -8.9375e+00 ] [ l_d_total: 7.9215e-05 ] 
2025-07-08 22:28:02,931 INFO: [ epoch:  92 ] [ iter: 31,900 ] [ performance: 2.312 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 9:28:55 ] [ l_g_mssim: 1.3696e-03 ] [ l_g_gan: 3.9586e+00 ] [ l_g_total: 3.9600e+00 ] [ l_d_real: 1.5961e-05 ] [ out_d_real: 1.1438e+01 ] [ l_d_fake: 2.0862e-06 ] [ out_d_fake: -1.3188e+01 ] [ l_d_total: 9.0237e-06 ] 
2025-07-08 22:28:45,315 INFO: [ epoch:  92 ] [ iter: 32,000 ] [ performance: 2.337 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 9:03:19 ] [ l_g_mssim: 1.1438e-03 ] [ l_g_gan: 4.1273e+00 ] [ l_g_total: 4.1285e+00 ] [ l_d_real: 6.8004e-07 ] [ out_d_real: 1.4688e+01 ] [ l_d_fake: 1.2517e-06 ] [ out_d_fake: -1.3750e+01 ] [ l_d_total: 9.6587e-07 ] 
