2025-07-10 18:12:29,942 INFO: 
------------------------ neosr ------------------------
Pytorch Version: 2.5.1+cu124. Running on gpu NVIDIA L4, with driver 535.247.01.
2025-07-10 18:12:30,798 INFO: Dataset [paired] is built.
2025-07-10 18:12:30,799 INFO: Training informations:
-------- Starting model: train_plksr_tiny_4x
-------- GPUs detected: 1
-------- Patch size: 32
-------- Dataset size: 1365
-------- Batch size per gpu: 4
-------- Accumulated batches: 4
-------- Required iters per epoch: 342
-------- Total epochs 1316 for total iters 450000.
2025-07-10 18:12:30,883 INFO: Dataset [paired] is built.
2025-07-10 18:12:30,884 INFO: Number of val images/folders: 162
2025-07-10 18:12:31,013 INFO: Using network [plksr].
2025-07-10 18:12:31,114 INFO: Using network [metagan].
2025-07-10 18:12:31,155 INFO: Loading plksr model from /teamspace/studios/this_studio/neosr/experiments/train_plksr_tiny_4x/models/net_g_79423.pth, with param key: [params].
2025-07-10 18:12:31,352 INFO: Loading metagan model from /teamspace/studios/this_studio/neosr/experiments/train_plksr_tiny_4x/models/net_d_79423.pth, with param key: [params].
2025-07-10 18:12:31,488 INFO: Using exponential-moving average.
2025-07-10 18:12:31,633 INFO: Loss [mssim_loss] enabled.
2025-07-10 18:12:31,633 INFO: Loss [gan_loss] enabled.
2025-07-10 18:12:31,633 INFO: Loss [wavelet-guided] enabled.
2025-07-10 18:12:31,633 INFO: Using model [image].
2025-07-10 18:12:31,754 INFO: [1;32mResuming training from epoch: 230, iter: 79423[0m
2025-07-10 18:12:38,368 INFO: AMP enabled with BF16.
2025-07-10 18:12:38,369 INFO: [1;32mStart training from epoch: 230, iter: 79423[0m
2025-07-10 18:14:03,557 INFO: [ epoch: 230 ] [ iter: 79,500 ] [ performance: 0.904 it/s ] [ lr: 1.00e-05 ] [ eta: 5 days, 4:18:50 ] [ l_g_mssim: 5.8796e-04 ] [ l_g_gan: 6.4664e+00 ] [ l_g_total: 6.4670e+00 ] [ l_d_real: 5.1070e-08 ] [ out_d_real: 1.9500e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -2.1500e+01 ] [ l_d_total: 2.5535e-08 ] 
2025-07-10 18:14:45,832 INFO: [ epoch: 230 ] [ iter: 79,600 ] [ performance: 1.389 it/s ] [ lr: 1.00e-05 ] [ eta: 3 days, 6:22:47 ] [ l_g_mssim: 5.0353e-04 ] [ l_g_gan: 6.7383e+00 ] [ l_g_total: 6.7388e+00 ] [ l_d_real: 2.3235e-10 ] [ out_d_real: 2.2750e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -2.2500e+01 ] [ l_d_total: 1.1617e-10 ] 
2025-07-10 18:15:25,925 INFO: [ epoch: 230 ] [ iter: 79,700 ] [ performance: 2.396 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 16:54:36 ] [ l_g_mssim: 8.6921e-04 ] [ l_g_gan: 7.5492e+00 ] [ l_g_total: 7.5501e+00 ] [ l_d_real: 2.9770e-10 ] [ out_d_real: 2.6500e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -2.5125e+01 ] [ l_d_total: 1.4885e-10 ] 
2025-07-10 18:16:10,617 INFO: [ epoch: 231 ] [ iter: 79,800 ] [ performance: 2.303 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 11:51:23 ] [ l_g_mssim: 1.2361e-03 ] [ l_g_gan: 7.7742e+00 ] [ l_g_total: 7.7755e+00 ] [ l_d_real: 9.0942e-11 ] [ out_d_real: 2.7375e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -2.5875e+01 ] [ l_d_total: 4.5471e-11 ] 
2025-07-10 18:16:47,994 INFO: [ epoch: 231 ] [ iter: 79,900 ] [ performance: 2.647 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 7:20:30 ] [ l_g_mssim: 1.0841e-03 ] [ l_g_gan: 6.3539e+00 ] [ l_g_total: 6.3550e+00 ] [ l_d_real: 5.4888e-08 ] [ out_d_real: 1.7500e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -2.1125e+01 ] [ l_d_total: 2.7444e-08 ] 
2025-07-10 18:17:26,103 INFO: [ epoch: 231 ] [ iter: 80,000 ] [ performance: 2.634 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 4:31:16 ] [ l_g_mssim: 1.3992e-03 ] [ l_g_gan: 6.6492e+00 ] [ l_g_total: 6.6506e+00 ] [ l_d_real: 1.4472e+00 ] [ out_d_real: 1.2375e+01 ] [ l_d_fake: 5.2578e+00 ] [ out_d_fake: -9.5625e+00 ] [ l_d_total: 3.3525e+00 ] 
2025-07-10 18:17:26,105 INFO: [1;32mSaving models and training states.[0m
2025-07-10 19:01:43,664 INFO: Validation val

	 # psnr: 38.1209[1;32m........ Best: 38.1209 @ 80000 iter[0m
