2025-07-12 05:58:26,171 INFO: 
------------------------ neosr ------------------------
Pytorch Version: 2.5.1+cu124. Running on gpu NVIDIA L4, with driver 535.247.01.
2025-07-12 05:58:27,164 INFO: Dataset [paired] is built.
2025-07-12 05:58:27,164 INFO: Training informations:
-------- Starting model: train_plksr_tiny_3x
-------- GPUs detected: 1
-------- Patch size: 32
-------- Dataset size: 1368
-------- Batch size per gpu: 4
-------- Accumulated batches: 4
-------- Required iters per epoch: 342
-------- Total epochs 1316 for total iters 450000.
2025-07-12 05:58:27,249 INFO: Dataset [paired] is built.
2025-07-12 05:58:27,249 INFO: Number of val images/folders: 162
2025-07-12 05:58:27,404 INFO: Using network [plksr].
2025-07-12 05:58:27,525 INFO: Using network [metagan].
2025-07-12 05:58:27,572 INFO: Loading plksr model from /teamspace/studios/this_studio/neosr/experiments/train_plksr_tiny_3x/models/net_g_50000.pth, with param key: [params].
2025-07-12 05:58:27,793 INFO: Loading metagan model from /teamspace/studios/this_studio/neosr/experiments/train_plksr_tiny_3x/models/net_d_50000.pth, with param key: [params].
2025-07-12 05:58:27,949 INFO: Using exponential-moving average.
2025-07-12 05:58:28,131 INFO: Loss [mssim_loss] enabled.
2025-07-12 05:58:28,132 INFO: Loss [gan_loss] enabled.
2025-07-12 05:58:28,132 INFO: Loss [wavelet-guided] enabled.
2025-07-12 05:58:28,132 INFO: Using model [image].
2025-07-12 05:58:28,279 INFO: [1;32mResuming training from epoch: 146, iter: 50000[0m
2025-07-12 05:58:33,889 INFO: AMP enabled with BF16.
2025-07-12 05:58:33,891 INFO: [1;32mStart training from epoch: 146, iter: 50000[0m
2025-07-12 05:59:39,263 INFO: [ epoch: 146 ] [ iter: 50,100 ] [ performance: 1.530 it/s ] [ lr: 1.00e-05 ] [ eta: 3 days, 7:38:36 ] [ l_g_mssim: 6.3320e-04 ] [ l_g_gan: 6.1617e+00 ] [ l_g_total: 6.1624e+00 ] [ l_d_real: 5.2012e-10 ] [ out_d_real: 2.3375e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -2.0500e+01 ] [ l_d_total: 2.6006e-10 ] 
2025-07-12 06:00:06,885 INFO: [ epoch: 146 ] [ iter: 50,200 ] [ performance: 2.151 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 7:01:38 ] [ l_g_mssim: 1.2928e-03 ] [ l_g_gan: 6.7336e+00 ] [ l_g_total: 6.7349e+00 ] [ l_d_real: 6.6238e-10 ] [ out_d_real: 2.2250e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -2.2500e+01 ] [ l_d_total: 3.3119e-10 ] 
2025-07-12 06:00:32,720 INFO: [ epoch: 146 ] [ iter: 50,300 ] [ performance: 3.885 it/s ] [ lr: 1.00e-05 ] [ eta: 1 day, 22:12:28 ] [ l_g_mssim: 7.2064e-04 ] [ l_g_gan: 7.7836e+00 ] [ l_g_total: 7.7843e+00 ] [ l_d_real: 2.9276e-08 ] [ out_d_real: 1.9125e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -2.6000e+01 ] [ l_d_total: 1.4638e-08 ] 
2025-07-12 06:01:00,072 INFO: [ epoch: 147 ] [ iter: 50,400 ] [ performance: 3.767 it/s ] [ lr: 1.00e-05 ] [ eta: 1 day, 18:13:39 ] [ l_g_mssim: 1.1805e-03 ] [ l_g_gan: 4.4742e+00 ] [ l_g_total: 4.4754e+00 ] [ l_d_real: 7.1983e-07 ] [ out_d_real: 1.7250e+01 ] [ l_d_fake: 9.5367e-07 ] [ out_d_fake: -1.4938e+01 ] [ l_d_total: 8.3675e-07 ] 
2025-07-12 06:01:27,468 INFO: [ epoch: 147 ] [ iter: 50,500 ] [ performance: 3.665 it/s ] [ lr: 1.00e-05 ] [ eta: 1 day, 15:50:56 ] [ l_g_mssim: 1.3156e-03 ] [ l_g_gan: 4.8188e+00 ] [ l_g_total: 4.8201e+00 ] [ l_d_real: 4.1492e-10 ] [ out_d_real: 2.2750e+01 ] [ l_d_fake: 2.9802e-07 ] [ out_d_fake: -1.6000e+01 ] [ l_d_total: 1.4922e-07 ] 
2025-07-12 06:01:53,658 INFO: [ epoch: 147 ] [ iter: 50,600 ] [ performance: 3.741 it/s ] [ lr: 1.00e-05 ] [ eta: 1 day, 14:02:20 ] [ l_g_mssim: 9.2521e-04 ] [ l_g_gan: 5.4410e+00 ] [ l_g_total: 5.4419e+00 ] [ l_d_real: 2.1126e-10 ] [ out_d_real: 2.3750e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -1.8125e+01 ] [ l_d_total: 1.0563e-10 ] 
2025-07-12 06:02:20,786 INFO: [ epoch: 148 ] [ iter: 50,700 ] [ performance: 3.673 it/s ] [ lr: 1.00e-05 ] [ eta: 1 day, 12:53:36 ] [ l_g_mssim: 1.0607e-03 ] [ l_g_gan: 4.7988e+00 ] [ l_g_total: 4.7999e+00 ] [ l_d_real: 6.8017e-10 ] [ out_d_real: 2.2125e+01 ] [ l_d_fake: 8.3447e-07 ] [ out_d_fake: -1.6000e+01 ] [ l_d_total: 4.1757e-07 ] 
2025-07-12 06:02:48,089 INFO: [ epoch: 148 ] [ iter: 50,800 ] [ performance: 3.668 it/s ] [ lr: 1.00e-05 ] [ eta: 1 day, 12:03:25 ] [ l_g_mssim: 8.6471e-04 ] [ l_g_gan: 5.2313e+00 ] [ l_g_total: 5.2321e+00 ] [ l_d_real: 8.0386e-09 ] [ out_d_real: 2.1500e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -1.7500e+01 ] [ l_d_total: 4.0193e-09 ] 
2025-07-12 06:03:15,513 INFO: [ epoch: 148 ] [ iter: 50,900 ] [ performance: 3.643 it/s ] [ lr: 1.00e-05 ] [ eta: 1 day, 11:25:12 ] [ l_g_mssim: 1.4079e-03 ] [ l_g_gan: 5.4469e+00 ] [ l_g_total: 5.4483e+00 ] [ l_d_real: 9.7020e-10 ] [ out_d_real: 2.1625e+01 ] [ l_d_fake: 9.5367e-07 ] [ out_d_fake: -1.8125e+01 ] [ l_d_total: 4.7732e-07 ] 
2025-07-12 06:03:39,917 INFO: [ epoch: 148 ] [ iter: 51,000 ] [ performance: 3.862 it/s ] [ lr: 1.00e-05 ] [ eta: 1 day, 10:34:27 ] [ l_g_mssim: 8.5329e-04 ] [ l_g_gan: 6.4898e+00 ] [ l_g_total: 6.4907e+00 ] [ l_d_real: 4.4730e-09 ] [ out_d_real: 2.3500e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -2.1625e+01 ] [ l_d_total: 2.2365e-09 ] 
