2025-07-11 19:52:43,195 INFO: 
------------------------ neosr ------------------------
Pytorch Version: 2.5.1+cu124. Running on gpu NVIDIA L4, with driver 535.247.01.
2025-07-11 19:52:44,249 INFO: Dataset [paired] is built.
2025-07-11 19:52:44,250 INFO: Training informations:
-------- Starting model: train_plksr_tiny_4x
-------- GPUs detected: 1
-------- Patch size: 32
-------- Dataset size: 1365
-------- Batch size per gpu: 4
-------- Accumulated batches: 4
-------- Required iters per epoch: 342
-------- Total epochs 1316 for total iters 450000.
2025-07-11 19:52:44,335 INFO: Dataset [paired] is built.
2025-07-11 19:52:44,335 INFO: Number of val images/folders: 162
2025-07-11 19:52:44,575 INFO: Using network [plksr].
2025-07-11 19:52:44,725 INFO: Using network [metagan].
2025-07-11 19:52:44,769 INFO: Loading plksr model from /teamspace/studios/this_studio/neosr/experiments/train_plksr_tiny_4x/models/net_g_120000.pth, with param key: [params].
2025-07-11 19:52:45,007 INFO: Loading metagan model from /teamspace/studios/this_studio/neosr/experiments/train_plksr_tiny_4x/models/net_d_120000.pth, with param key: [params].
2025-07-11 19:52:45,194 INFO: Using exponential-moving average.
2025-07-11 19:52:45,413 INFO: Loss [mssim_loss] enabled.
2025-07-11 19:52:45,414 INFO: Loss [gan_loss] enabled.
2025-07-11 19:52:45,414 INFO: Loss [wavelet-guided] enabled.
2025-07-11 19:52:45,414 INFO: Using model [image].
2025-07-11 19:52:45,568 INFO: [1;32mResuming training from epoch: 348, iter: 120000[0m
2025-07-11 19:52:55,506 INFO: AMP enabled with BF16.
2025-07-11 19:52:55,507 INFO: [1;32mStart training from epoch: 348, iter: 120000[0m
2025-07-11 19:54:48,990 INFO: [ epoch: 348 ] [ iter:120,100 ] [ performance: 0.881 it/s ] [ lr: 1.00e-05 ] [ eta: 4 days, 18:14:34 ] [ l_g_mssim: 1.0652e-03 ] [ l_g_gan: 5.0227e-08 ] [ l_g_total: 1.0653e-03 ] [ l_d_real: 1.0220e-08 ] [ out_d_real: 1.9375e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -2.1500e+01 ] [ l_d_total: 5.1099e-09 ] 
2025-07-11 19:55:36,511 INFO: [ epoch: 348 ] [ iter:120,200 ] [ performance: 1.242 it/s ] [ lr: 1.00e-05 ] [ eta: 3 days, 6:41:37 ] [ l_g_mssim: 5.7024e-04 ] [ l_g_gan: 4.5348e-05 ] [ l_g_total: 6.1559e-04 ] [ l_d_real: 1.4571e-06 ] [ out_d_real: 1.3688e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -1.8125e+01 ] [ l_d_total: 7.2857e-07 ] 
2025-07-11 19:56:25,138 INFO: [ epoch: 348 ] [ iter:120,300 ] [ performance: 2.052 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 19:15:12 ] [ l_g_mssim: 8.1492e-04 ] [ l_g_gan: 3.2552e+00 ] [ l_g_total: 3.2560e+00 ] [ l_d_real: 7.3533e-05 ] [ out_d_real: 1.1688e+01 ] [ l_d_fake: 3.2187e-06 ] [ out_d_fake: -1.7750e+01 ] [ l_d_total: 3.8376e-05 ] 
2025-07-11 19:57:19,246 INFO: [ epoch: 349 ] [ iter:120,400 ] [ performance: 1.945 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 14:47:53 ] [ l_g_mssim: 8.6588e-04 ] [ l_g_gan: 2.4300e-08 ] [ l_g_total: 8.6591e-04 ] [ l_d_real: 4.7507e-08 ] [ out_d_real: 1.8375e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -2.4375e+01 ] [ l_d_total: 2.3754e-08 ] 
2025-07-11 19:58:09,418 INFO: [ epoch: 349 ] [ iter:120,500 ] [ performance: 1.986 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 11:24:02 ] [ l_g_mssim: 6.7292e-04 ] [ l_g_gan: 6.2434e-06 ] [ l_g_total: 6.7917e-04 ] [ l_d_real: 1.8987e-07 ] [ out_d_real: 1.7625e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -2.7500e+01 ] [ l_d_total: 9.4937e-08 ] 
2025-07-11 19:58:58,304 INFO: [ epoch: 349 ] [ iter:120,600 ] [ performance: 2.016 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 8:56:12 ] [ l_g_mssim: 8.4586e-04 ] [ l_g_gan: 9.0282e-10 ] [ l_g_total: 8.4586e-04 ] [ l_d_real: 3.9293e-09 ] [ out_d_real: 2.1500e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -2.9000e+01 ] [ l_d_total: 1.9646e-09 ] 
2025-07-11 19:59:53,179 INFO: [ epoch: 350 ] [ iter:120,700 ] [ performance: 1.803 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 7:57:27 ] [ l_g_mssim: 1.3540e-03 ] [ l_g_gan: 2.5239e-09 ] [ l_g_total: 1.3540e-03 ] [ l_d_real: 1.8556e-09 ] [ out_d_real: 2.2125e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -2.8375e+01 ] [ l_d_total: 9.2782e-10 ] 
2025-07-11 20:00:42,892 INFO: [ epoch: 350 ] [ iter:120,800 ] [ performance: 1.903 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 6:37:43 ] [ l_g_mssim: 9.9138e-04 ] [ l_g_gan: 1.3040e-03 ] [ l_g_total: 2.2954e-03 ] [ l_d_real: 9.0224e-07 ] [ out_d_real: 1.4688e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -2.2250e+01 ] [ l_d_total: 4.5112e-07 ] 
2025-07-11 20:01:30,760 INFO: [ epoch: 350 ] [ iter:120,900 ] [ performance: 2.085 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 5:24:17 ] [ l_g_mssim: 2.0058e-03 ] [ l_g_gan: 3.3713e-06 ] [ l_g_total: 2.0092e-03 ] [ l_d_real: 3.3366e-08 ] [ out_d_real: 1.7500e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -2.1625e+01 ] [ l_d_total: 1.6683e-08 ] 
2025-07-11 20:02:14,319 INFO: [ epoch: 350 ] [ iter:121,000 ] [ performance: 2.187 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 4:01:45 ] [ l_g_mssim: 9.2148e-04 ] [ l_g_gan: 1.5211e-07 ] [ l_g_total: 9.2163e-04 ] [ l_d_real: 2.4987e-09 ] [ out_d_real: 2.0250e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -2.4625e+01 ] [ l_d_total: 1.2493e-09 ] 
